HCO3_,DIC,DIC flux,ETtotal,VP,TsoilSur,TsoilSub,PDSI,CO2,GPP,Transpiration,LAIHigh,LAILow,RA,RH,Precipitation,RainErosivity,RunoffSur,RunoffSub,GDP,HFP,PopDens,Cropland,Bareland,Grassland,Forest,Urban,Other,Aspects,Elevation,TWI,Lithology,SMSur,SMSub,pHSur,pHSub,OCContSur,OCContSub,ClaySur,ClaySub,SiltSur,SiltSub,SandSur,SandSub
141.581,27.852,0.346617603,47.95961761,0.01174,15.01439285,17.08967781,-0.017100001,358.7939758,97.75999451,25.44757652,3.973266602,2.811401367,70.84367371,55.64806366,49.93596268,2371.288086,0.222540006,12.22244072,38360.13672,17.17723846,15,17,0,12,58,4,9,276.2344666,1453,67,12,50.68045425,148.8120575,6.233333588,6.266666412,53,13,29.66666603,35.33333206,38.33333206,35,32.66666794,29.33333397
160.186,31.512,0.500707692,47.33429337,0.013459999,15.1385994,17.18035126,-0.0228,357.5638428,116.5799942,22.38534927,3.702148438,2.884887695,74.95580292,54.7655983,65.59380341,3139.383789,0.297329992,15.59209919,30195.02344,12.26048279,10,8,6,14,11,0,61,18.69303513,1070,76,14,50.19301987,145.6845245,6,6,63.66666794,10.33333302,29.66666603,33.66666794,35.33333206,34,35.33333206,31.66666603
169.641,33.372,0.530262031,47.33429337,0.013099999,15.1385994,17.18035126,-0.022299999,358.3812866,112.4799957,22.38534927,4.455078125,2.837158203,74.20054626,53.89926147,65.59380341,1997.13916,0.297329992,15.59209919,18200.33398,12.02151108,20,6,0,8,85,1,0,128.5547333,1815,66,14,50.19301987,145.6845245,6.033333302,6.06666708,64.33333588,10,30.66666603,34.66666794,35.33333206,34.33333206,34.33333206,31.66666603
112.9622222,22.2220765,6.711167387,100.0105515,0.028410001,26.24472237,24.72607613,0.026099999,364.2480774,234.4799957,10.21086311,3.635375977,2.569580078,131.0468597,100.9055023,363.836853,7832.572754,11.67361069,290.3309021,2947.949463,6.6547575,27,0,0,0,100,0,0,146.0124054,472,80,12,72.08747101,215.2111969,5.200000286,5.300000191,77,12,26.66666603,30.66666603,32,30,42,39.33333206
77.36888889,15.22010929,5.23756096,95.65707397,0.03063,27.50307083,26.42138863,0.0277,362.1311646,189,7.919534206,0,2.178222656,127.8853531,97.16791534,407.7658997,8960.654297,7.655079842,336.4660339,161258.1719,21.78335953,75,4,0,20,74,2,0,120.4110794,38,90,14,58.68138504,175.3491058,5.533333302,5.533333302,40.66666794,5.666666508,24,28,31,31,45.33333206,41.66666794
106.8188889,21.01355191,1.32917779,73.18232727,0.01932,23.40257835,23.97914314,0.0297,362.7384949,194.6399994,26.67066002,3.68347168,2.913818359,108.0384827,83.16513062,134.2213135,7832.572754,6.470860004,56.78250122,2947.949463,6.6547575,27,0,0,0,100,0,0,146.0124054,472,80,12,67.79336548,202.0723114,5.200000286,5.300000191,77,12,26.66666603,30.66666603,32,30,42,39.33333206
82.51,16.23147541,1.057114634,72.99765015,0.021289999,24.57016182,24.96402931,0.031400003,362.3694763,174.6499939,34.53000259,0,2.55065918,106.1067505,81.5759201,132.0937195,8960.654297,5.656889915,59.47056198,161258.1719,21.78335953,75,4,0,20,74,2,0,120.4110794,38,90,14,53.14665985,160.0812988,5.533333302,5.533333302,40.66666794,5.666666508,24,28,31,31,45.33333206,41.66666794
90.89444444,17.88087432,1.859156079,33.33038712,0.01181,13.69026566,14.22110176,0.044599999,368.6747437,90.84999847,2.244267702,3.525512695,1.73034668,58.89336014,51.18165588,144.9381561,7832.572754,5.618299961,98.35626221,2947.949463,6.6547575,27,0,0,0,100,0,0,146.0124054,472,80,12,69.55005646,207.6555328,5.200000286,5.300000191,77,12,26.66666603,30.66666603,32,30,42,39.33333206
60.36666667,11.87540984,1.124979053,31.55378532,0.01318,15.00478649,15.26822758,0.045400001,367.0984497,66.93999481,2.520681143,0,1.562133789,57.2741394,51.17767715,145.0990753,8960.654297,2.461979866,92.2698288,161258.1719,21.78335953,75,4,0,20,74,2,0,120.4110794,38,90,14,55.588974,166.5263672,5.533333302,5.533333302,40.66666794,5.666666508,24,28,31,31,45.33333206,41.66666794
83.77666667,16.48065574,1.636141014,67.19327545,0.021140002,22.31220818,19.91984749,0.0436,370.5435791,149.7299957,7.556182861,3.5625,2.008178711,105.3677063,82.7966156,241.7234344,7832.572754,10.61177063,88.66468048,2947.949463,6.6547575,27,0,0,0,100,0,0,146.0124054,472,80,12,68.80987549,204.3241119,5.200000286,5.300000191,77,12,26.66666603,30.66666603,32,30,42,39.33333206
